query,kind,top1_r,r_rank15,background_r_sd,top1_over_sd,prox_frac_top15,profile_sd,min_effect,n_dep_lines,frac_dep_lines,n_lines
SPOPL,null,0.28547176976642374,0.20464846826524294,0.06492809493517951,4.396737191371815,0.0,0.1276145936946414,-0.6905909180641174,4,0.0033112582781456954,1208
SLC24A3,null,0.22510095208164618,0.16142534477073803,0.044828949028948996,5.021330121664992,0.0,0.16892705003328742,-0.40635862946510315,0,0.0,1208
TMEM234,null,0.21261405080022874,0.16684941607683162,0.05489647045236782,3.8730003777694266,0.13333333333333333,0.1123742639816039,-0.4342308044433594,0,0.0,1208
VWA3A,null,0.228529826417569,0.1909402459905862,0.06196913071087766,3.687801067983262,0.06666666666666667,0.1227042479501032,-0.6063833236694336,5,0.0041390728476821195,1208
OSR1,null,0.22442376858469465,0.15783061878942736,0.04646067369317764,4.8304028061833595,0.2,0.11885728362763165,-0.5556728839874268,1,0.0008278145695364238,1208
TMLHE,null,0.1878806835863605,0.16086390125464728,0.051927227997690666,3.618153535842815,0.06666666666666667,0.0938157549125884,-0.2819017469882965,0,0.0,1208
RNF44,null,0.3577353818834141,0.19017074838621584,0.05496030303972522,6.508977609254511,0.4,0.1536039291511007,-0.7772067189216614,9,0.0074503311258278145,1208
DNAAF6,null,0.3676990427171946,0.28355007805807475,0.0823872121169468,4.4630596577931785,0.0,0.10875787200084515,-0.4195566773414612,0,0.0,1208
LAMTOR1,null,0.6239604610484016,0.2575550118333614,0.05085822680983928,12.268623980568808,,0.23115288221783575,-1.11636221408844,183,0.15149006622516556,1208
TXNDC16,null,0.29017294399016513,0.22874460684344353,0.06844948721655333,4.239227433101819,0.0,0.12696519684211224,-0.5547974109649658,2,0.0016556291390728477,1208
NUCB1,null,0.2569976979276556,0.19857474953766382,0.06583970152767112,3.903384917679868,0.0,0.14852189078117606,-0.5647439360618591,4,0.0033112582781456954,1208
PDE4DIP,null,0.456650621509241,0.21131413355074044,0.051585885599157576,8.852239642789003,0.6666666666666666,0.25759445663525155,-2.0548653602600098,675,0.5587748344370861,1208
FGFBP3,null,0.1976921929353405,0.1753582935815264,0.053489832798605204,3.695883546311917,0.0,0.22210220073659395,-1.0945618152618408,55,0.04552980132450331,1208
CEP44,null,0.3985472318560422,0.2909032849487139,0.05731468021700309,6.953667548123358,0.0,0.18853172037659297,-1.269226312637329,31,0.02566225165562914,1208
PRKAA1,null,0.2274756646674606,0.18802828849786915,0.049089381677960925,4.6339077187763325,0.0,0.15729151862553808,-1.2378320693969727,10,0.008278145695364239,1208
HMGCS2,null,0.2304645228360441,0.19306969068015406,0.06079454728112472,3.7908748916302555,0.13333333333333333,0.11159481440031718,-0.4036308228969574,0,0.0,1208
AICDA,null,0.2113964108488063,0.16244766171639052,0.0522655181154413,4.044663067950176,0.0,0.10661169160023398,-0.4240478575229645,0,0.0,1208
DLG1,null,0.21352704463553532,0.1706116339656023,0.050742312750272266,4.2080668590414145,0.13333333333333333,0.14795873353622524,-0.9162583947181702,2,0.0016556291390728477,1208
HYPK,null,0.28486649716043405,0.23510818960085442,0.05955100602808244,4.783571532378474,0.0,0.2765904225652169,-2.0881993770599365,1120,0.9271523178807947,1208
CEP350,null,0.434766323464983,0.205486257867731,0.05816753361407175,7.47438126480586,0.0,0.20489022897724224,-1.4651446342468262,86,0.07119205298013245,1208
SERPINE3,null,0.20415998872114438,0.15057354832390735,0.048138948913725,4.241056220131468,0.0,0.1365388023751917,-0.5146284103393555,1,0.0008278145695364238,1208
PKIA,null,0.2009310832399811,0.15700154370489394,0.04923392823982457,4.081150751595949,0.0,0.10481747850827365,-0.5515210628509521,2,0.0016556291390728477,1208
HTR1A,null,0.2834276722331,0.2050458405377128,0.06342518118273353,4.468693142815311,0.0,0.11530261025406187,-0.42136189341545105,0,0.0,1208
KCTD6,null,0.2839894587958373,0.18847771278365533,0.05612707452719681,5.0597587917793225,0.0,0.12343458948074605,-0.5979046821594238,2,0.0016556291390728477,1208
ADAP1,null,0.3230935850266278,0.1962329207882315,0.059825813828821614,5.4005714983015345,0.2,0.13693373760551605,-0.6426839828491211,3,0.0024834437086092716,1208
NBPF3,null,0.3061222389558976,0.21607723792947486,0.06367152859236762,4.807835554188231,0.0,0.19574928684259493,-1.0067495107650757,58,0.048013245033112585,1208
PGS1,null,0.53928288124079,0.4479947589442333,0.07552960204005542,7.140020159973749,0.06666666666666667,0.36044510573858635,-2.0873782634735107,1042,0.8625827814569537,1208
ENSA,null,0.33428926552385096,0.2010596805267567,0.05507215585153748,6.0700232332473405,0.6,0.21023480681257944,-1.4752424955368042,247,0.20447019867549668,1208
REX1BD,null,0.18986984393740708,0.15289643075489795,0.04731569352924985,4.012830200196313,0.0,0.1433864847774436,-0.8037785887718201,24,0.019867549668874173,1208
ADAP2,null,0.2652758819585069,0.18294024577506973,0.04834045822919672,5.487657578683962,0.8,0.1481673706751129,-0.7584046721458435,9,0.0074503311258278145,1208
TYMP,null,0.4696900969339933,0.22042569400155926,0.05743954316587874,8.177121039726636,0.5333333333333333,0.1292887932464076,-0.7079600691795349,3,0.0024834437086092716,1208
CEP85L,null,0.18563921215170068,0.14797698913123078,0.041143714956980076,4.511970111250413,0.0,0.1519382625882274,-0.7062613368034363,7,0.005794701986754967,1208
NKAPL,null,0.18964490921106708,0.15609952256518939,0.04806529526492625,3.9455683807991284,0.06666666666666667,0.11106262065877638,-0.5944821834564209,3,0.0024834437086092716,1208
CD300C,null,0.3224991192216703,0.24493699654359927,0.07647074015509804,4.217287796189461,0.0,0.1654567557196361,-0.7716061472892761,17,0.014072847682119206,1208
TBX2,null,0.25774477072347557,0.21230761452639815,0.062444793338522486,4.127562234471703,0.06666666666666667,0.1698390651568617,-1.3911269903182983,38,0.03145695364238411,1208
IQSEC3,null,0.33837360997598676,0.26456950936048707,0.07983660158348727,4.238326823344809,0.13333333333333333,0.1253254682135081,-0.6894341111183167,2,0.0016556291390728477,1208
TMIGD3,null,0.27983559616596465,0.1827190020714465,0.04900742924655125,5.710064789526932,0.6666666666666666,0.1255360883919001,-0.5444571375846863,2,0.0016556291390728477,1208
FAM199X,null,0.25983309787653397,0.19978389874393557,0.0636290940596587,4.0835580282333455,0.0,0.13063744787888615,-0.5856106281280518,3,0.0024834437086092716,1208
ABHD8,null,0.22644537481320903,0.16208613602291258,0.049711206662470094,4.555217827455513,0.06666666666666667,0.11584241174646488,-0.4810178875923157,0,0.0,1208
CDK15,null,0.2880377846261452,0.17563314924481918,0.05098574183051574,5.649379106488752,0.06666666666666667,0.12169034727123328,-0.4621136784553528,0,0.0,1208
OGFOD3,null,0.23397048534293258,0.19329694922423482,0.053229595941431285,4.39549617472902,0.5333333333333333,0.14714600502424058,-0.6047825813293457,3,0.0024834437086092716,1208
VPS37A,null,0.3816326485250005,0.20768114492116876,0.04842397182127994,7.881068697410975,0.0,0.3054481987375127,-1.9149445295333862,502,0.4155629139072848,1208
BRIX1,null,0.24661681320712828,0.2057977999388573,0.0465679932528752,5.295843689633365,0.0,0.3324959901291937,-2.471167802810669,1193,0.9875827814569537,1208
ZCWPW1,null,0.26166791748130735,0.20124313701705984,0.061429230708921215,4.259664567853785,0.0,0.12704686241622667,-0.35520532727241516,0,0.0,1208
TNF,null,0.2440830369625625,0.1913715807482125,0.058015737056158964,4.2071866936085165,0.06666666666666667,0.14139674991872805,-0.5625500082969666,6,0.004966887417218543,1208
MALSU1,null,0.6096573417257825,0.5729563589023468,0.09017947999766376,6.760488547301188,0.0,0.2286589272701933,-1.06925630569458,75,0.062086092715231786,1208
SLC1A3,null,0.2035144484474471,0.16008829478782652,0.05538238095565569,3.674714682461915,0.06666666666666667,0.10687816770732791,-0.6271844506263733,2,0.0016556291390728477,1208
ZNF613,null,0.2582506113232563,0.2054095947991625,0.06306407033125885,4.095051428915613,0.06666666666666667,0.14033596691145245,-0.6369531154632568,3,0.0024834437086092716,1208
MACROD1,null,0.3566797006130071,0.23864583526340377,0.06728438974065046,5.3010765496698244,0.8,0.13697426745377064,-0.6377864480018616,10,0.008278145695364239,1208
CCDC83,null,0.20438389536491403,0.1559051513793125,0.04595570319384437,4.447410901380585,0.06666666666666667,0.12696291174677515,-0.6222636103630066,1,0.0008278145695364238,1208
FBXL7,null,0.19932722159347954,0.18337268500608989,0.06237083306501335,3.195840295827174,0.0,0.13729638493413418,-0.5142577886581421,2,0.0016556291390728477,1208
TRAF4,null,0.3022587028615184,0.21667740014351874,0.05168739279199738,5.847822583698133,0.9333333333333333,0.16815421083909304,-1.0059616565704346,41,0.03394039735099338,1208
OVOL2,null,0.320584594522832,0.268616941682383,0.08227346235619204,3.89657351643843,0.0,0.17066037007913584,-0.9159159660339355,19,0.015728476821192054,1208
IFNE,null,0.3724162798455832,0.2084406074472521,0.056843004210436844,6.5516642728254055,0.6666666666666666,0.11820064216657489,-0.35681116580963135,0,0.0,1208
TBL2,null,0.48951734093813065,0.23660015905680964,0.07015173254114876,6.977979348564135,0.5333333333333333,0.1317038670255272,-0.6142104864120483,9,0.0074503311258278145,1208
TMEM33,null,0.25418173156383045,0.20433313649457396,0.06595157177780088,3.854066320363078,0.06666666666666667,0.14187329556039013,-0.5952723622322083,4,0.0033112582781456954,1208
VAV3,null,0.2834881936418033,0.19060349781521785,0.051613543144864084,5.492515653229522,0.4666666666666667,0.13108043507111397,-0.6728275418281555,3,0.0024834437086092716,1208
SYN3,null,0.22711806464413817,0.14503998422921124,0.0434180524342886,5.230959287910757,0.0,0.11655868484322543,-0.45503243803977966,0,0.0,1208
SMCO3,null,0.2772722384636961,0.22876293762558236,0.06839375906829906,4.05405759591029,0.0,0.12310280827043549,-0.42661604285240173,0,0.0,1208
ARF3,null,0.18992713941368045,0.1470337481645222,0.04655713705199317,4.079441981184911,0.4,0.1253325004745125,-0.9037412405014038,19,0.015728476821192054,1208
ZDHHC2,null,0.2950321916332624,0.19474145341726468,0.05990080061039874,4.925346383134068,0.0,0.11872934267098513,-0.43606358766555786,0,0.0,1208
TPCN2,null,0.28811794153825887,0.1834323440713491,0.05355930015984321,5.379419459895764,0.6666666666666666,0.13637159141263216,-0.7567734718322754,5,0.0041390728476821195,1208
TATDN2,null,0.2147114000897079,0.1913674714135268,0.06422492458829497,3.3431164219512244,0.06666666666666667,0.12038640306106838,-0.556135356426239,2,0.0016556291390728477,1208
PIERCE1,null,0.17930388697782348,0.14915760515692397,0.04695690278650415,3.818477717601023,0.0,0.13512591378235253,-0.6401679515838623,6,0.004966887417218543,1208
ERICH6,null,0.2288851750631864,0.19150568480220764,0.05975701932405535,3.8302642543459,0.0,0.12273959548327824,-0.7804680466651917,8,0.006622516556291391,1208
FGL2,null,0.21896372563193311,0.1764938157731329,0.054731469787166594,4.00069149400544,,0.11915805566155555,-0.5648520588874817,1,0.0008278145695364238,1208
KCNG3,null,0.27449989253104173,0.21304665780198107,0.06463581023645337,4.246870140976882,0.0,0.11991490814696083,-0.5572839975357056,6,0.004966887417218543,1208
