Term,Correlation,F-stat,p-val,FDR
~ congenital heart disease,-0.0378852234147254,26.59822044856568,2.530565455558274e-07,4.303867864860787e-05
~ recent,-0.0377805735532904,26.451269806935542,2.730272352033103e-07,4.611931481179182e-05
~ histone,-0.0376624372894232,26.28587261101529,2.974012083343561e-07,4.9897090568583754e-05
n6 methyladenosine m6a,0.0376457274348245,26.262519958907564,3.010140385607623e-07,5.016429256041803e-05
~ repeated,-0.0375717655323258,26.159280567451347,3.175205646108851e-07,5.256235426568592e-05
prolyl isomerase,-0.0375153964642605,26.08073516080181,3.306841351363733e-07,5.437892556007473e-05
~ diamond,-0.037491568056805,26.047568004487797,3.364056877043272e-07,5.495585283806677e-05
17p13_3,-0.0371741043649338,25.607706873415104,4.223721060412368e-07,6.854850826869248e-05
TUBD1,-0.0371637949383083,25.593485724049813,4.2549212757111897e-07,6.860646116700296e-05
ribonucleosomes,-0.0371269597853504,25.54270655075002,4.3682249343724874e-07,6.997896344864724e-05
WTAP,0.0369474647079179,25.29598775616248,4.963297911584319e-07,7.900234002727579e-05
adenoid,-0.0368323490615069,25.13839224576897,5.385295425468975e-07,8.517342083428034e-05
~ processing,-0.0367712374049295,25.054930144729507,5.623169278566773e-07,8.8372731870944e-05
~ cyclin dependent kinase 11,-0.0367546063260934,25.032240680999585,5.689638419049118e-07,8.877393245084349e-05
linker DNA,-0.0367470222936775,25.02189735624204,5.720200230411566e-07,8.877393245084349e-05
~ cyclin dependent kinase inhibitor,0.0364584965540684,24.629991298620084,7.007921639546207e-07,0.0001080830448643
~ olfactory receptor proteins,-0.0364142932564502,24.570224076687868,7.22838164013135e-07,0.0001107950274729
FA,-0.0362890939515171,24.401337859723764,7.889667179286092e-07,0.0001201891568888
~ TEDC1,-0.036132330943613,24.19069855970644,8.800116856438634e-07,0.0001332412815013
~ distortion,-0.0360958596512803,24.141824259185444,9.026005767184072e-07,0.0001351265985898
22q11_21,0.0360946691715373,24.140229762145843,9.033472419924244e-07,0.0001351265985898
~ proteotoxic,-0.035858638990069,23.82514139625317,1.0637426316800076e-06,0.0001581664268697
~ blackfan,-0.0358135981321297,23.765250213845192,1.0973178760151732e-06,0.0001621875010674
2q37_3,-0.035454990479883,23.291105988107883,1.403526088951445e-06,0.0002060566367323
~ duplication,-0.0354475038196587,23.281258373410456,1.4107216078490606e-06,0.0002060566367323
~ tetrapeptide repeat homeobox 1,-0.0354343450294122,23.263954960337863,1.423454727342316e-06,0.000206700610144
~ comprising,0.0353603619363786,23.166789622793537,1.49712758348407e-06,0.0002161347385203
~ proline,-0.0352478980225352,23.01947662649009,1.6161849376658574e-06,0.0002319739201571
n6,0.0352035947572937,22.961574637022437,1.6655408976568148e-06,0.0002376841725845
~ MACOM,0.0350440129595903,22.75361635989002,1.8556091714575365e-06,0.0002632950362083
~ wrapped,-0.035034749031895,22.74157327522262,1.8672601992006465e-06,0.0002634428295815
number of tumors,-0.034979555938275,22.66988869959787,1.9381456045967097e-06,0.000271898833377
BRIP1,-0.0349408735006924,22.61971579274631,1.9893592793131406e-06,0.0002775156194641
~ 60s ribosomal subunit,-0.0347967996340975,22.433336155394727,2.1917846558615704e-06,0.0003040458368139
~ ZWILCH,-0.0347804870703863,22.412282348020412,2.2159128863240017e-06,0.0003056851826683
unprotected,0.0347699515094531,22.398689900662273,2.231631576583229e-06,0.0003061527275035
~ olfactory receptor,-0.0346144376170394,22.19853507107429,2.4764819915378785e-06,0.000337876507318
~ subcomplex,0.0345746536247867,22.147475729217824,2.543146601453458e-06,0.0003450758101677
6p22_2,-0.0344312402183375,21.96390659407365,2.7980473529131676e-06,0.0003775995316314
olfactory receptor activity,-0.0343257687887033,21.829392411361457,3.0009698493872e-06,0.0004027950396223
~ l36a,-0.0342784624328252,21.7691944061065,3.0965036312866127e-06,0.0004133832347767
~ CHK2,0.0341596190684305,21.61833252419569,3.349545819145281e-06,0.0004447731135572
YYWPRPRRY,-0.034008856128106,21.427708808794577,3.6991758607101264e-06,0.0004870919093851
8q24_3,-0.0340054450972799,21.423405722389692,3.7074773820541178e-06,0.0004870919093851
~ HAKAI,0.0339901808796948,21.404154905893925,3.7448456037402624e-06,0.0004894119009814
~ FANCJ,-0.0339666497496107,21.37449509457059,3.8031601468131935e-06,0.0004944307309189
nucleolin,-0.0339076506181565,21.300220373227035,3.95322290561103e-06,0.0005064424151066
nascent,-0.0338972475867874,21.287137324004867,3.980264583373321e-06,0.0005064424151066
~ RPL36A,-0.0338968295175961,21.286611636569116,3.98135501072597e-06,0.0005064424151066
~ smell,-0.0338958491569167,21.285378939630917,3.9839131556103665e-06,0.0005064424151066
~ HaeIII,-0.0338906401831553,21.27882982233898,3.997531849740601e-06,0.0005064424151066
~ amylase,-0.0337727802109202,21.130917581184907,4.317868694763537e-06,0.0005421157806769
~ bp,-0.0337710396168661,21.128737044335388,4.3227789687901186e-06,0.0005421157806769
~ olfactory,-0.0337378624244004,21.08719575527853,4.4174021369390855e-06,0.0005511985550871
~ preribosome,-0.0337189474757536,21.06353063429573,4.472233384808523e-06,0.0005552501358909
~ PSG,-0.0336279669679327,20.949888180096703,4.745207740150415e-06,0.0005862102158988
mobile,0.0335601042316676,20.865322637744516,4.95913684275723e-06,0.0006096055789232
~ keratinization,-0.0334920215215118,20.780655414475035,5.183022860669868e-06,0.0006339883776024
~ mRNA,0.0334531548052786,20.732398455087576,5.315139751700472e-06,0.0006469619371297
congenita,-0.0333965708126122,20.66224432290937,5.5132593663884734e-06,0.0006678036259843
~ glucanohydrolase,-0.0333373563560977,20.58895662048275,5.728150657794057e-06,0.0006904646067169
~ multigene,-0.0332668298164122,20.50183879672857,5.994559859580188e-06,0.0007190865501122
~ POLE3,-0.0331869864657416,20.40343604410234,6.310470292956348e-06,0.0007533427300211
~ charged,-0.0331339661673477,20.33822252234164,6.52898636994321e-06,0.0007756998112538
~ USP1,-0.0331050431227686,20.302692113540253,6.651221305390554e-06,0.0007864594106388
PBAF,0.0330939246721667,20.289041986137786,6.698790254084677e-06,0.0007883301459676
~ spliceosome,0.0330384795542339,20.22104073155893,6.940903827191577e-06,0.000812969730816
